GRADE [0=Display][1=Warning][2=Error]
KIND  [0=Machine][1=Material][2=Man][3=Method]
NO, GRADE, KIND, PART, NAME
0001, 0,0,Wafer Table,Machine All Homming
0010, 0,0,Wafer Table,서버 연결상태가 아닙니다.
0011, 0,0,Wafer Table,TESTER 연결상태가 아닙니다.
0020, 0,0,Wafer Table,Homming LOADER MAGAZINE SCAN Z AXIS
0021, 0,0,Wafer Table,Homming UNLOADER MAGAZINE SCAN Z AXIS
0022, 0,0,Wafer Table,Homming ALIGNER X AXIS
0023, 0,0,Wafer Table,Homming ALIGNER Y AXIS
0024, 0,0,Wafer Table,Homming ALIGNER T AXIS
0026, 0,0,Wafer Table,Homming CHAMBER WAFER TABLE T AXIS
0027, 0,0,Wafer Table,Homming CHAMBER WAFER TABLE Z AXIS
0028, 0,0,Wafer Table,Homming CHAMBER NOZZLE TILE AXIS
0029, 0,0,Wafer Table,Homming CHAMBER BRUSH TILT AXIS
0030, 0,0,Wafer Table,Homming CHAMBER BRUSH T AXIS
0031, 0,0,Wafer Table,Homming WAFER TRANSFER X AXIS
0032, 0,0,Wafer Table,Homming WAFER TRANSFER T AXIS
0033, 0,0,Wafer Table,Homming WAFER TRANSFER Z AXIS
0034, 0,0,Wafer Table,Homming WAFER TRANSFER Y AXIS__TEST
0200, 2,0,Wafer Table,LOADER SCAN Z AXIS ALARM
0201, 2,0,Wafer Table,LOADER SCAN Z AXIS +LIMIT
0202, 2,0,Wafer Table,LOADER SCAN Z AXIS -LIMIT
0203, 2,0,Wafer Table,LOADER SCAN Z AXIS Initial
0204, 2,0,Wafer Table,LOADER SCAN Z AXIS CONTROL ERROR
0205, 2,0,Wafer Table,LOADER SCAN Z AXIS HOLDING (SAFETY Senser)
0206, 2,0,Wafer Table,LOADER SCAN Z AXIS Position PARAMETER LIMIT Sensor
0207, 2,0,Wafer Table,LOADER SCAN Z AXIS Speed PARAMETER LIMIT Sensor
0208, 2,0,Wafer Table,LOADER SCAN Z AXIS Acc/Dec PARAMETER LIMIT Sensor
0210, 2,0,Wafer Table,UNLOADER SCAN Z AXIS ALARM
0211, 2,0,Wafer Table,UNLOADER SCAN Z AXIS +LIMIT
0212, 2,0,Wafer Table,UNLOADER SCAN Z AXIS -LIMIT
0213, 2,0,Wafer Table,UNLOADER SCAN Z AXIS Initial
0214, 2,0,Wafer Table,UNLOADER SCAN Z AXIS CONTROL ERROR
0215, 2,0,Wafer Table,UNLOADER SCAN Z AXIS HOLDING (SAFETY Senser)
0216, 2,0,Wafer Table,UNLOADER SCAN Z AXIS Position PARAMETER LIMIT Sensor
0217, 2,0,Wafer Table,UNLOADER SCAN Z AXIS Speed PARAMETER LIMIT Sensor
0218, 2,0,Wafer Table,UNLOADER SCAN Z AXIS Acc/Dec PARAMETER LIMIT Sensor
0220, 2,0,Right Load Head,ALIGNER X AXIS ALARM
0221, 2,0,Right Load Head,ALIGNER X AXIS +LIMIT
0222, 2,0,Right Load Head,ALIGNER X AXIS -LIMIT
0223, 2,0,Right Load Head,ALIGNER X AXIS Initial
0224, 2,0,Right Load Head,ALIGNER X AXIS CONTROL ERROR
0225, 2,0,Right Load Head,ALIGNER X AXIS HOLDING (SAFETY Senser)
0226, 2,0,Right Load Head,ALIGNER X AXIS Position PARAMETER LIMIT Sensor
0227, 2,0,Right Load Head,ALIGNER X AXIS Speed PARAMETER LIMIT Sensor
0228, 2,0,Right Load Head,ALIGNER X AXIS Acc/Dec PARAMETER LIMIT Sensor
0230, 2,0,Right Load Head,ALIGNER Y AXIS ALARM
0231, 2,0,Right Load Head,ALIGNER Y AXIS +LIMIT
0232, 2,0,Right Load Head,ALIGNER Y AXIS -LIMIT
0233, 2,0,Right Load Head,ALIGNER Y AXIS Initial
0234, 2,0,Right Load Head,ALIGNER Y AXIS CONTROL ERROR
0235, 2,0,Right Load Head,ALIGNER Y AXIS HOLDING (SAFETY Senser)
0236, 2,0,Right Load Head,ALIGNER Y AXIS Position PARAMETER LIMIT Sensor
0237, 2,0,Right Load Head,ALIGNER Y AXIS Speed PARAMETER LIMIT Sensor
0238, 2,0,Right Load Head,ALIGNER Y AXIS Acc/Dec PARAMETER LIMIT Sensor
0240, 2,0,Right Load Head,ALIGNER T AXIS ALARM
0241, 2,0,Right Load Head,ALIGNER T AXIS +LIMIT
0242, 2,0,Right Load Head,ALIGNER T AXIS -LIMIT
0243, 2,0,Right Load Head,ALIGNER T AXIS Initial
0244, 2,0,Right Load Head,ALIGNER T AXIS CONTROL ERROR
0245, 2,0,Right Load Head,ALIGNER T AXIS HOLDING (SAFETY Senser)
0246, 2,0,Right Load Head,ALIGNER T AXIS Position PARAMETER LIMIT Sensor
0247, 2,0,Right Load Head,ALIGNER T AXIS Speed PARAMETER LIMIT Sensor
0248, 2,0,Right Load Head,ALIGNER T AXIS Acc/Dec PARAMETER LIMIT Sensor
0260, 2,0,Left Load Head,CHAMBER TABLE T AXIS ALARM
0261, 2,0,Left Load Head,CHAMBER TABLE T AXIS +LIMIT
0262, 2,0,Left Load Head,CHAMBER TABLE T AXIS -LIMIT
0263, 2,0,Left Load Head,CHAMBER TABLE T AXIS Initial
0264, 2,0,Left Load Head,CHAMBER TABLE T AXIS CONTROL ERROR
0265, 2,0,Left Load Head,CHAMBER TABLE T AXIS HOLDING (SAFETY Senser)
